species_id	sample_id	long_reads	short_reads	lrtechnology	numsr	numlr
abau	SAMN12769618	SRR11176972	SRR11176973	OXFORD_NANOPORE	1	1
ecol	SAMN24907326	SRR18777561	SRR18777562	OXFORD_NANOPORE	1	1
ecol	SAMN15423745	SRR12207193	SRR12207194	OXFORD_NANOPORE	1	1
ecol	SAMN29499317	SRR19977217	SRR19977205	OXFORD_NANOPORE	1	1
ecol	SAMN24907327	SRR18777559	SRR18777560	OXFORD_NANOPORE	1	1
ecol	SAMN10432165	SRR21547805	SRR8192791	OXFORD_NANOPORE	1	2
ecol	SAMN07363400	SRR21547807	SRR5864678	OXFORD_NANOPORE	1	1
ecol	SAMN07375592	SRR21547806	SRR5870510	OXFORD_NANOPORE	1	1
ecol	SAMN36841951	SRR25570560	SRR25523645	OXFORD_NANOPORE	1	1
ecol	SAMN36984462	SRR26643263	SRR25635027	OXFORD_NANOPORE	1	1
ecol	SAMN36984461	SRR26643265	SRR25635025	OXFORD_NANOPORE	1	1
ecol	SAMN36841952	SRR25570561	SRR25523643	OXFORD_NANOPORE	1	1
ecol	SAMN36984458	SRR26643264	SRR25635101	OXFORD_NANOPORE	1	1
ecol	SAMN24907331	SRR18777553	SRR18777554	OXFORD_NANOPORE	1	1
ecol	SAMN09489939	SRR21465136	SRR7439153	OXFORD_NANOPORE	1	1
ecol	SAMN24907330	SRR18777555	SRR18777556	OXFORD_NANOPORE	1	1
ecol	SAMN14640123	SRR24335781	SRR11585298	OXFORD_NANOPORE	1	1
ecol	SAMN38673180	SRR27089209	SRR27089201	OXFORD_NANOPORE	1	1
ecol	SAMN34375060	SRR24308100	SRR24308050	OXFORD_NANOPORE	1	1
ecol	SAMN34375049	SRR24308000	SRR24308062	OXFORD_NANOPORE	1	1
ecol	SAMN34375052	SRR24308108	SRR24308059	OXFORD_NANOPORE	1	1
ecol	SAMN34375061	SRR24308099	SRR24308049	OXFORD_NANOPORE	1	1
ecol	SAMN34375051	SRR24307998	SRR24308060	OXFORD_NANOPORE	1	1
ecol	SAMN34375050	SRR24307999	SRR24308061	OXFORD_NANOPORE	1	1
ecol	SAMN34360982	SRR24308007	SRR24308070	OXFORD_NANOPORE	1	1
ecol	SAMN39998263	SRR28375022	SRR28015252	OXFORD_NANOPORE	1	1
ecol	SAMN34360984	SRR24308005	SRR24308068	OXFORD_NANOPORE	1	1
ecol	SAMN22830670	SRR16690171	SRR16690172	OXFORD_NANOPORE	1	1
ecol	SAMN17214837	SRR13358236	SRR13358231	OXFORD_NANOPORE	1	1
ecol	SAMN25236411	SRR17772292	SRR17731597	OXFORD_NANOPORE	1	1
ecol	SAMN35706290	SRR25500367	SRR25500368	OXFORD_NANOPORE	1	1
ecol	SAMN22251350	SRR18439256	SRR18439255	OXFORD_NANOPORE	1	1
ecol	SAMN38673179	SRR27089210	SRR27089217	OXFORD_NANOPORE	1	1
ecol	SAMN34360985	SRR24308004	SRR24308067	OXFORD_NANOPORE	1	1
ecol	SAMN28550360	SRR19324999	SRR19325005	OXFORD_NANOPORE	1	1
