species_id	sample_id	long_reads	short_reads	long_read_type	Isolate	Assembly Accession	Animal or WwTW	Isolate source information	Timepoint	Niche	Niche.2	Location	Genus	Species	ST assignment	Circularised plasmids	Number of contigs	Circularised chromosome (1=yes)	Total genome size (bp)	Chromosome GC (if known)	Phylogroup (E. coli only)	Alternative isolate name
eclo	SAMN15148691	SRR12298672	SRR11949451	Nanopore	WTP4|T3-00757	GCA_014103365.1	WTP	Wastewater effluent sample	3	WTP4	Effluent	WTP4	Enterobacter	Enterobacter cloacae	145	2	126	0	5375438	NA	NA	RHBSTW-00757
kpne	SAMN15148624	SRR12298774	SRR11948714	Nanopore	WTP5|T2-00472	GCA_013611495.1	WTP	Wastewater effluent sample	2	WTP5	Effluent	WTP5	Klebsiella	Klebsiella pneumoniae	3705	6	8	1	6049280	57.3	NA	RHBSTW-00472
ecol	SAMN15148548	SRR12298356	SRR11948883	Nanopore	WTP3|T1-00219	GCA_013926745.1	WTP	Wastewater influent sample	1	WTP3	Influent	WTP3	Escherichia	Escherichia coli	636	6	7	0	5059078	NA	B2	RHBSTW-00219
ecol	SAMN15148648	SRR12298719	SRR11948916	Nanopore	WTP1|T2-00531	GCA_013735655.1	WTP	Wastewater effluent sample	2	WTP1	Effluent	WTP1	Escherichia	Escherichia coli	635	5	6	1	5333127	50.8	A	RHBSTW-00531
efer	SAMN15148269	SRR12298756	SRR11949397	Nanopore	RH01|T2-C13	GCA_013596835.1	Animal	Pooled pig faecal samples collected from floor of farm	2	Pig	Faeces	RH01	Escherichia	Escherichia fergusonii	NA	4	6	1	5152230	50	fergusonii	RHB28-C13
kxxx	SAMN15148544	SRR12298362	SRR11948889	PacBio	WTP3|T1-00215	GCA_014103785.1	WTP	Wastewater influent sample	1	WTP3	Influent	WTP3	Klebsiella	Klebsiella sp.	NA	6	11	0	6562935	NA	NA	RHBSTW-00215
ecol	SAMN15148218	SRR12298888	SRR11949214	Nanopore	RH12|T2-C18	GCA_013883815.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH12	Escherichia	Escherichia coli	155	3	4	1	4980759	50.7	B1	RHB23-C18
cfre	SAMN15148495	SRR12298416	SRR11948815	Nanopore	WTP5|T1-00119	GCA_013792365.1	WTP	Freshwater sample from downstream of wastewater treatment work	1	WTP5	Downstream	WTP5	Citrobacter	Citrobacter freundii	98	1	2	1	5182238	51.8	NA	RHBSTW-00119
ecol	SAMN15148053	SRR12299089	SRR11948841	Nanopore	RH08|T1-C23	GCA_013899885.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH08	Escherichia	Escherichia coli	154	2	3	1	4968699	50.7	B1	RHB09-C23
ecol	SAMN15148593	SRR12298832	SRR11949134	Nanopore	WTP4|T2-00366	GCA_013751075.1	WTP	Wastewater influent sample	2	WTP4	Influent	WTP4	Escherichia	Escherichia coli	131	2	3	1	5181402	50.8	B2	RHBSTW-00366
ecol	SAMN15148360	SRR12299108	SRR11949376	Nanopore	RH07|T3-C03	GCA_014104695.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH07	Escherichia	Escherichia coli	388	0	10	0	4819883	NA	B1	RHB36-C03
ecol	SAMN15148220	SRR12298886	SRR11948778	Nanopore	RH15|T2-C01	GCA_013883375.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH15	Escherichia	Escherichia coli	58	1	2	1	4899593	50.8	B1	RHB24-C01
cxxx	SAMN15148728	SRR12299132	SRR11948726	Nanopore	WTP1|T3-00881	GCA_013728515.1	WTP	Freshwater sample from downstream of wastewater treatment work	3	WTP1	Downstream	WTP1	Citrobacter	Citrobacter sp.	NA	3	4	1	5709006	52	NA	RHBSTW-00881
ecol	SAMN15148035	SRR12298979	SRR11949433	PacBio	RH06|T1-C13	GCA_014105885.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH06	Escherichia	Escherichia coli	3381	2	16	0	5212213	NA	E	RHB08-C13
cfre	SAMN15148688	SRR12298675	SRR11949454	Nanopore	WTP2|T2-00714	GCA_013745755.1	WTP	Freshwater sample from upstream of wastewater treatment work	2	WTP2	Upstream	WTP2	Citrobacter	Citrobacter freundii	NA	2	3	1	5259515	52.6	NA	RHBSTW-00714
ecol	SAMN15148366	SRR12299102	SRR11949370	Nanopore	RH07|T3-C10	GCA_013814885.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH07	Escherichia	Escherichia coli	2035	3	4	1	4924737	50.8	A	RHB36-C10
kpne	SAMN15148755	SRR12299054	SRR11949012	Nanopore	WTP3|T3-00973	GCA_013724605.1	WTP	Wastewater influent sample	3	WTP3	Influent	WTP3	Klebsiella	Klebsiella pneumoniae	461	6	7	1	5824880	57.4	NA	RHBSTW-00973
cfre	SAMN15148223	SRR12298859	SRR11948775	Nanopore	RH15|T2-C05	GCA_013882995.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH15	Citrobacter	Citrobacter freundii	NA	0	1	1	4696854	52.7	NA	RHB24-C05
efer	SAMN15148376	SRR12299043	SRR11949359	Nanopore	RH15|T3-C09	GCA_014042125.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH15	Escherichia	Escherichia fergusonii	NA	4	76	0	4648882	NA	fergusonii	RHB37-C09
ecol	SAMN15148469	SRR12298444	SRR11948789	PacBio	WTP5|T1-00067	GCA_014104205.1	WTP	Wastewater influent sample	1	WTP5	Influent	WTP5	Escherichia	Escherichia coli	398	2	28	0	4846749	NA	A	RHBSTW-00067
ecol	SAMN15148388	SRR12299029	SRR11948821	Nanopore	RH04|T3-C13	GCA_013592195.1	Animal	Pooled pig faecal samples collected from floor of farm	3	Pig	Faeces	RH04	Escherichia	Escherichia coli	118	5	7	1	5609072	50.6	E	RHB38-C13
ecol	SAMN15148205	SRR12298903	SRR11949117	Nanopore	RH07|T2-C12	GCA_014105075.1	Animal	Pooled cattle faecal samples collected from floor of farm	2	Cattle	Faeces	RH07	Escherichia	Escherichia coli	58	2	15	0	4983869	NA	B1	RHB22-C12
ecol	SAMN15147997	SRR12298493	SRR11949018	Nanopore	RH12|T1-C03	GCA_014106225.1	Animal	Pooled sheep faecal samples collected from floor of farm	1	Sheep	Faeces	RH12	Escherichia	Escherichia coli	69	1	9	0	5233476	NA	D	RHB05-C03
eclo	SAMN15148612	SRR12298787	SRR11949257	Nanopore	WTP5|T2-00438	GCA_014101245.1	WTP	Wastewater influent sample	2	WTP5	Influent	WTP5	Enterobacter	Enterobacter cloacae	78	2	5	0	4886990	NA	NA	RHBSTW-00438
koxy	SAMN15148651	SRR12298716	SRR11948913	Nanopore	WTP1|T2-00555	GCA_013608545.1	WTP	Freshwater sample from upstream of wastewater treatment work	2	WTP1	Upstream	WTP1	Klebsiella	Klebsiella oxytoca	NA	8	10	1	6430391	55.6	NA	RHBSTW-00555
eclo	SAMN15148549	SRR12298355	SRR11948882	Nanopore	WTP3|T1-00220	GCA_013743295.1	WTP	Wastewater influent sample	1	WTP3	Influent	WTP3	Enterobacter	Enterobacter cloacae	108	4	5	1	4852893	55.5	NA	RHBSTW-00220
kpne	SAMN15148614	SRR12298785	SRR11949255	Nanopore	WTP5|T2-00441	GCA_013749075.1	WTP	Wastewater influent sample	2	WTP5	Influent	WTP5	Klebsiella	Klebsiella pneumoniae	29	3	4	1	5476182	57.5	NA	RHBSTW-00441
ecol	SAMN15148591	SRR12298834	SRR11949136	Nanopore	WTP2|T1-00357	GCA_013751495.1	WTP	Freshwater sample from downstream of wastewater treatment work	1	WTP2	Downstream	WTP2	Escherichia	Escherichia coli	NA	1	2	1	4975340	50.9	B1	RHBSTW-00357
ecol	SAMN15148704	SRR12298610	SRR11948871	Nanopore	WTP5|T3-00826	GCA_013704225.1	WTP	Freshwater sample from downstream of wastewater treatment work	3	WTP5	Downstream	WTP5	Escherichia	Escherichia coli	10	3	13	1	4783814	50.7	A	RHBSTW-00826
ecol	SAMN15148684	SRR12298680	SRR11948631	Nanopore	WTP2|T2-00687	GCA_013783465.1	WTP	Wastewater effluent sample	2	WTP2	Effluent	WTP2	Escherichia	Escherichia coli	4088	1	2	1	4871902	50.8	B1	RHBSTW-00687
ecol	SAMN15148025	SRR12299134	SRR11948728	Nanopore	RH07|T1-C09	GCA_013711195.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH07	Escherichia	Escherichia coli	224	4	10	1	5100465	50.9	B1	RHB07-C09
ecol	SAMN15148515	SRR12298394	SRR11948943	Nanopore	WTP1|T1-00147	GCA_013790405.1	WTP	Wastewater effluent sample	1	WTP1	Effluent	WTP1	Escherichia	Escherichia coli	NA	4	5	1	5563084	50.6	B2	RHBSTW-00147
