species_id	sample_id	sra_sr	sra_lr	Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Organism	SRA Accession	GenBank Chromosome Accession	GenBank Plasmid Accession	Molecule Length	Assembly Method
abau	SAMN12769618	SRR11176973	SRR11176972	GCA_008632635.1	ASM863263v1	Acinetobacter baumannii		K09-14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3980230	2	Complete Genome	2019-09-23		3972439	2							Illumina HiSeq; Oxford Nanopore MiniION	Nanyang Technological University	PRJNA565663	SAMN12769618	3760	Acinetobacter baumannii	SRS6212945; ILLUMINA:SRR11176973; OXFORD_NANOPORE:SRR11176972	CP043953.1	CP043954.1	CP043954.1:7791; CP043953.1:3972439	UniCycler v. Galaxy version 0.4.6.0
ecol	SAMN24907326	SRR18777562	SRR18777561	GCA_024300685.1	ASM2430068v1	Escherichia coli		2003-3014					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5955072	6	Complete Genome	2022-07-18		5840137	6							Oxford Nanopore MiniION; Illumina MiSeq	The University of Texas at San Antonio	PRJNA794938	SAMN24907326	6107	Escherichia coli	SRS12630882; ILLUMINA:SRR18777562; OXFORD_NANOPORE:SRR18777561	CP101292.1	CP101297.1; CP101296.1; CP101295.1; CP101294.1; CP101293.1	CP101297.1:6222; CP101296.1:6741; CP101295.1:90123; CP101294.1:6673; CP101293.1:5176; CP101292.1:5840137	Unicycler v. Galaxy Version 0.4.8.0
ecol	SAMN15423745	SRR12207194	SRR12207193	GCA_014058445.2	ASM1405844v2	Escherichia coli		MBT-5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5936184	7	Complete Genome	2020-09-17		5705580	7							Illumina MiSeq; Oxford Nanopore MinION	Max Rubner-Institut	PRJNA643697	SAMN15423745	6045	Escherichia coli	SRS6993623; ILLUMINA:SRR12207194; OXFORD_NANOPORE:SRR12207193	CP058682.2	CP058688.1; CP058687.1; CP058686.1; CP058685.1; CP058684.1; CP058683.1	CP058682.2:5705580; CP058688.1:2784; CP058687.1:4742; CP058686.1:6715; CP058685.1:34196; CP058684.1:89589; CP058683.1:92578	"Other" Unicycler v. 0.4.8
ecol	SAMN29499317	SRR19977205	SRR19977217	GCA_024223415.1	ASM2422341v1	Escherichia coli		LH50-c					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6001057	11	Complete Genome	2022-07-13		5559392	11							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA855630	SAMN29499317	5917	Escherichia coli	SRS13699822; OXFORD_NANOPORE:SRR19977217; ILLUMINA:SRR19977205	CP100500.1	CP100510.1; CP100509.1; CP100508.1; CP100507.1; CP100506.1; CP100505.1; CP100504.1; CP100503.1; CP100502.1; CP100501.1	CP100510.1:1565; CP100509.1:1593; CP100508.1:2313; CP100507.1:4051; CP100506.1:5319; CP100505.1:46338; CP100504.1:63428; CP100503.1:64795; CP100502.1:112293; CP100501.1:139970; CP100500.1:5559392	Unicycler v. 0.5.0
ecol	SAMN24907327	SRR18777560	SRR18777559	GCA_024300705.1	ASM2430070v1	Escherichia coli		2000-3039					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5577330	3	Complete Genome	2022-07-18		5497490	3							Oxford Nanopore MiniION; Illumina MiSeq	The University of Texas at San Antonio	PRJNA794938	SAMN24907327	5610	Escherichia coli	SRS12630884; ILLUMINA:SRR18777560; OXFORD_NANOPORE:SRR18777559	CP101302.1	CP101304.1; CP101303.1	CP101304.1:5686; CP101303.1:74154; CP101302.1:5497490	Unicycler v. Galaxy Version 0.4.8.0
ecol	SAMN36841951	SRR25523645	SRR25570560	GCA_030733925.1	ASM3073392v1	Escherichia coli		PNUSAE145745					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5551583	2	Complete Genome	2023-08-15		5458846	2							Illumina MiSeq; Oxford Nanopore GridION	Utah Public Health Laboratory Infectious Disease submission group	PRJNA812595	SAMN36841951	5538	Escherichia coli	SRS18507674; ILLUMINA:SRR25523645; OXFORD_NANOPORE:SRR25570560	CP132298.1	CP132299.1	CP132299.1:92737; CP132298.1:5458846	Unicycler v. 0.5.0
ecol	SAMN24907331	SRR18777554	SRR18777553	GCA_024300785.1	ASM2430078v1	Escherichia coli		99-3311					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5540804	2	Complete Genome	2022-07-18		5448459	2							Oxford Nanopore MiniION; Illumina MiSeq	The University of Texas at San Antonio	PRJNA794938	SAMN24907331	5474	Escherichia coli	SRS12630887; ILLUMINA:SRR18777554; OXFORD_NANOPORE:SRR18777553	CP101310.1	CP101311.1	CP101311.1:92345; CP101310.1:5448459	Unicycler v. Galaxy Version 0.4.8.0
ecol	SAMN24907330	SRR18777556	SRR18777555	GCA_024300765.1	ASM2430076v1	Escherichia coli		2002-3211					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5473483	2	Complete Genome	2022-07-18		5391548	2							Oxford Nanopore MiniION; Illumina MiSeq	The University of Texas at San Antonio	PRJNA794938	SAMN24907330	5480	Escherichia coli	SRS12630886; ILLUMINA:SRR18777556; OXFORD_NANOPORE:SRR18777555	CP101305.1	CP101306.1	CP101306.1:81935; CP101305.1:5391548	Unicycler v. Galaxy Version 0.4.8.0
ecol	SAMN14640123	SRR11585298	SRR24335781	GCA_030007975.1	ASM3000797v1	Escherichia coli		C325					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5622430	5	Complete Genome	2023-05-13		5323817	5							Illumina HiSeq; Oxford Nanopore	Hospital Ramon y Cajal	PRJNA626430	SAMN14640123	5635	Escherichia coli	SRS6515233; ILLUMINA:SRR11585298; OXFORD_NANOPORE:SRR24335781	CP124819.1	CP124823.1; CP124822.1; CP124821.1; CP124820.1	CP124823.1:59433; CP124822.1:65499; CP124821.1:86154; CP124820.1:87527; CP124819.1:5323817	Unicycler v. v0.4.9
ecol	SAMN34375049	SRR24308062	SRR24308000	GCA_029989965.1	ASM2998996v1	Escherichia coli		AVS0171					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5435290	2	Complete Genome	2023-05-12		5285630	2							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA961666	SAMN34375049	5415	Escherichia coli	SRS17434210; ILLUMINA:SRR24308062; OXFORD_NANOPORE:SRR24308000	CP124355.1	CP124356.1	CP124356.1:149660; CP124355.1:5285630	Unicycler v. 0.5.0
ecol	SAMN34375052	SRR24308059	SRR24308108	GCA_029989405.1	ASM2998940v1	Escherichia coli		AVS0453					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5391335	2	Complete Genome	2023-05-12		5285512	2							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA961666	SAMN34375052	5365	Escherichia coli	SRS17434163; OXFORD_NANOPORE:SRR24308108; ILLUMINA:SRR24308059	CP124349.1	CP124350.1	CP124350.1:105823; CP124349.1:5285512	Unicycler v. 0.5.0
ecol	SAMN34375061	SRR24308049	SRR24308099	GCA_029987955.1	ASM2998795v1	Escherichia coli		AVS0787					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5498078	4	Complete Genome	2023-05-12		5285418	4							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA961666	SAMN34375061	5492	Escherichia coli	SRS17434173; OXFORD_NANOPORE:SRR24308099; ILLUMINA:SRR24308049	CP124328.1	CP124331.1; CP124330.1; CP124329.1	CP124331.1:1914; CP124330.1:61165; CP124329.1:149581; CP124328.1:5285418	Unicycler v. 0.5.0
ecol	SAMN34375051	SRR24308060	SRR24307998	GCA_029989625.1	ASM2998962v1	Escherichia coli		AVS0362					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5391006	2	Complete Genome	2023-05-12		5285097	2							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA961666	SAMN34375051	5362	Escherichia coli	SRS17434212; ILLUMINA:SRR24308060; OXFORD_NANOPORE:SRR24307998	CP124351.1	CP124352.1	CP124352.1:105909; CP124351.1:5285097	Unicycler v. 0.5.0
ecol	SAMN34375050	SRR24308061	SRR24307999	GCA_029989825.1	ASM2998982v1	Escherichia coli		AVS0226					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5392976	2	Complete Genome	2023-05-12		5284087	2							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA961666	SAMN34375050	5366	Escherichia coli	SRS17434211; ILLUMINA:SRR24308061; OXFORD_NANOPORE:SRR24307999	CP124353.1	CP124354.1	CP124354.1:108889; CP124353.1:5284087	Unicycler v. 0.5.0
ecol	SAMN34360982	SRR24308070	SRR24308007	GCA_029990455.1	ASM2999045v1	Escherichia coli		AVS0153					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5392914	2	Complete Genome	2023-05-12		5284052	2							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA961666	SAMN34360982	5370	Escherichia coli	SRS17434201; ILLUMINA:SRR24308070; OXFORD_NANOPORE:SRR24308007	CP124385.1	CP124386.1	CP124386.1:108862; CP124385.1:5284052	Unicycler v. 0.5.0
ecol	SAMN39998263	SRR28015252	SRR28375022	GCA_036713675.2	ASM3671367v2	Escherichia coli		2024CK-00184					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5475189	2	Complete Genome	2024-03-31		5280470	2							Oxford Nanopore GridION; Illumina MiSeq	Utah Public Health Laboratory, Utah Public Health Laboratory Infectious Disease submission group	PRJNA812595	SAMN39998263	5458	Escherichia coli	SRS20498826; ILLUMINA:SRR28015252; OXFORD_NANOPORE:SRR28375022	CP149836.1	CP149837.1	CP149837.1:194719; CP149836.1:5280470	Unicycler v. 0.5.0
